Time (sec),ECU: A/F Corr. B1 (%),ECU: A/F Corr. B2 (%),ECU: Active Map (#),ECU: Air Fuel B1 (AFR),ECU: Air Fuel B1 CMD (AFR),ECU: Air Fuel B2 (AFR),ECU: Air Fuel B2 CMD (AFR),ECU: Ethanol % (%),ECU: Fuel Pressure (PSI),ECU: Gear (Gear),ECU: Ign Advance (°),ECU: Inj. Duty Cycle (%),ECU: Int. Cam Adv B1 (°),ECU: Int. Cam Adv B2 (°),ECU: Intake Air Temp (° F),ECU: Knock Sums (raw),ECU: LTFT B1 (%),ECU: LTFT B2 (%),ECU: Limp Status (Safety) (raw),ECU: MAP (PSI),ECU: RPM (RPM),ECU: STFT B1 (%),ECU: STFT B2 (%),ECU: Theo. PW (ms),ECU: Throttle Pos. B1 (%),ECU: Vehicle Speed (mph),ECU: Wastegate Duty (%),TCM: Clutch A Slip (RPM),TCM: Clutch B Slip (RPM),AP Info:[AP3-NIS-006 v1.7.3.0-14238][2011 Nissan GT-R USDM Speed Density][Reflash: 2011 USDM SD FF 1700ID A12x Bach Racing 12426 v800.ptm - TCM: KB51B VDC OFF Stock Style LC4 v101.ptm]
36.656,100,100,1.00,85.41,14.55,83.94,14.55,81,53.88,3,-2,2.92,0.00,1.00,117,0,100,100,0,-11.96,3100,100,100,1.00,15.8,43,0.00,662,0,0
36.728,100,100,1.00,85.41,14.55,83.94,14.55,81,53.92,3,-3,2.82,0.00,1.00,117,0,100,100,0,-12.03,3050,100,100,1.00,15.7,42,0.00,654,0,0
36.782,100,100,1.00,85.41,14.55,84.08,14.55,81,53.73,3,-4,2.78,1.00,0.50,117,0,100,100,0,-11.89,3000,100,100,1.00,15.7,42,0.00,641,0,0
36.839,100,100,1.00,85.70,14.55,83.64,14.55,81,53.95,3,-6,2.78,0.00,0.00,117,0,100,100,0,-11.85,2975,100,100,1.00,15.6,41,0.00,637,0,0
36.895,100,100,1.00,85.11,14.55,83.64,14.55,81,53.99,3,-7,2.75,0.50,-0.50,117,0,100,100,0,-11.85,2925,100,100,1.00,15.6,40,0.00,622,0,0
36.960,100,100,1.00,85.41,14.55,84.08,14.55,81,54.02,3,-7,2.69,0.00,-0.50,117,0,100,100,0,-11.89,2888,100,100,1.00,15.6,40,0.00,613,0,0
37.033,100,100,1.00,85.26,14.55,83.94,14.55,81,54.02,3,-7,2.64,0.50,-1.00,117,0,100,100,0,-11.74,2850,100,100,1.20,15.5,39,0.00,614,0,0
37.086,100,100,1.00,85.41,14.55,83.94,14.55,81,54.10,3,-7,2.59,0.00,-1.00,117,0,100,100,0,-11.74,2800,100,100,1.20,15.5,39,0.00,595,0,0
37.144,100,100,1.00,85.26,14.55,83.94,14.55,81,54.17,3,-7,2.59,0.50,-1.00,117,0,100,100,0,-11.74,2775,100,100,1.20,15.5,38,0.00,600,0,0
37.208,100,100,1.00,84.97,14.55,83.94,14.55,81,54.10,3,-7,2.52,0.00,-1.50,117,0,100,100,0,-11.67,2725,100,100,1.20,15.4,38,0.00,583,0,0
37.265,100,100,1.00,85.26,14.55,83.50,14.55,81,54.17,3,-7,2.47,-0.50,-1.50,117,0,100,100,0,-11.56,2700,100,100,1.20,15.4,37,0.00,577,0,0
37.332,100,100,1.00,84.97,14.55,83.50,14.55,81,54.31,3,-7,2.46,0.00,-1.50,117,0,100,100,0,-11.56,2662,100,100,1.20,15.4,37,0.00,567,0,0
37.395,100,100,1.00,84.97,14.55,83.50,14.55,81,57.51,3,13,4.06,0.50,0.00,117,-10,100,100,0,-8.55,2562,100,100,2.20,63.7,36,0.00,509,0,0
37.452,100,100,1.00,85.70,14.55,84.08,14.55,81,64.29,3,32,7.29,0.00,1.00,117,-10,100,100,0,-1.77,2500,100,100,8.60,88.4,36,0.00,406,0,0
37.518,100,100,1.00,86.14,14.55,85.11,14.55,81,65.77,3,32,7.69,9.00,8.00,117,-10,100,100,0,-1.88,2812,100,100,8.40,65.0,35,0.00,564,219,0
37.576,100,100,1.00,50.13,14.55,59.98,14.55,81,64.21,3,33,9.58,20.00,21.50,117,0,100,100,0,-2.82,3362,100,100,8.60,28.6,35,0.00,491,716,0
37.630,100,100,1.00,18.38,14.55,27.93,14.55,81,61.60,3,-2,7.09,23.00,22.00,117,0,100,100,0,-4.60,3588,100,100,5.20,17.0,35,0.00,207,1034,0
37.679,100,100,1.00,14.99,14.55,16.32,14.55,81,58.88,3,4,5.98,17.00,15.50,117,0,100,100,0,-7.25,3538,100,100,3.20,17.2,34,0.00,53,1066,0
37.736,100,100,1.00,13.96,14.55,13.96,14.55,81,57.43,3,24,5.64,5.00,4.50,117,-10,100,100,0,-9.50,3525,100,100,3.40,19.3,34,0.00,0,1043,0
37.786,97,97,1.00,12.94,14.55,12.64,14.55,81,56.49,3,18,5.07,2.00,2.00,117,0,100,100,0,-9.89,3538,97,97,2.40,16.5,34,0.00,38,1120,0
37.850,100,100,1.00,12.05,14.55,11.91,14.55,81,55.40,2,13,3.16,2.00,2.00,117,0,100,100,0,-10.44,3450,100,100,1.80,16.3,33,0.00,3,1077,0
37.906,100,100,1.00,12.35,14.55,12.35,14.55,81,54.86,2,9,3.08,1.50,2.00,117,0,100,100,0,-10.73,3325,100,100,1.60,16.1,32,0.00,0,982,0
37.959,100,100,1.00,13.08,14.55,12.79,14.55,81,54.35,2,5,3.04,1.50,2.00,117,0,100,100,0,-11.27,3312,100,100,1.40,16.0,32,0.00,0,985,0
38.008,100,100,1.00,13.96,14.55,13.82,14.55,81,54.13,2,6,3.07,1.50,2.00,117,0,100,100,0,-11.49,3350,100,100,1.20,16.0,32,0.00,3,1029,0
38.065,100,100,1.00,15.14,14.55,14.99,14.55,81,54.13,2,6,3.04,1.50,2.50,117,0,100,100,0,-11.67,3288,100,100,1.20,15.9,31,0.00,0,1004,0
38.122,100,100,1.00,21.46,14.55,22.49,14.55,81,54.10,2,2,2.97,1.50,2.00,117,0,100,100,0,-11.60,3188,100,100,1.20,15.9,30,0.00,0,962,0
38.165,100,100,1.00,31.16,14.55,32.34,14.55,81,54.10,2,1,2.95,1.00,2.00,117,0,100,100,0,-11.78,3162,100,100,1.20,15.8,30,0.00,0,954,0
38.230,100,100,1.00,42.19,14.55,42.19,14.55,81,53.84,2,0,2.89,1.50,2.00,117,0,100,100,0,-11.85,3150,100,100,1.20,15.8,30,0.00,0,963,0
38.290,100,100,1.00,54.39,14.55,54.39,14.55,81,53.73,2,-2,2.81,2.00,2.00,117,0,100,100,0,-11.85,3062,100,100,1.00,15.8,29,0.00,0,930,0
38.355,100,100,1.00,61.01,14.55,61.45,14.55,81,53.84,2,-4,2.75,1.50,2.50,117,0,100,100,0,-11.85,3000,100,100,1.00,15.7,29,0.00,0,908,0
38.401,100,100,1.00,66.89,14.55,66.44,14.55,81,54.06,2,-6,2.77,1.50,2.00,117,0,100,100,0,-11.85,2962,100,100,1.20,15.6,29,0.00,0,901,0
38.477,100,100,1.00,70.71,14.55,69.68,14.55,81,54.10,2,-7,2.72,1.00,1.50,117,0,100,100,0,-11.85,2938,100,100,1.00,15.6,28,0.00,0,893,0
38.520,100,100,1.00,73.94,14.55,73.50,14.55,81,54.06,2,-7,2.66,1.00,1.00,117,0,100,100,0,-11.78,2875,100,100,1.20,15.6,27,0.00,0,879,0
38.578,100,100,1.00,76.00,14.55,74.97,14.55,81,54.06,2,-7,2.62,1.50,1.00,117,0,100,100,0,-11.78,2812,100,100,1.20,15.5,27,0.00,0,850,0
38.642,100,100,1.00,77.76,14.55,77.17,14.55,81,54.06,2,-7,2.56,1.50,0.50,117,0,100,100,0,-11.60,2788,100,100,1.20,15.4,27,0.00,0,845,0
38.688,100,100,1.00,78.79,14.55,78.35,14.55,81,54.13,2,-7,2.50,1.00,0.00,117,0,100,100,0,-11.60,2725,100,100,1.20,15.4,26,0.00,0,832,0
38.747,100,100,1.00,80.11,14.55,79.09,14.55,81,54.13,2,-7,2.46,0.50,0.00,117,0,100,100,0,-11.60,2688,100,100,1.20,15.4,25,0.00,0,810,0
38.801,100,100,1.00,80.41,14.55,80.11,14.55,81,54.13,2,-7,2.44,0.00,0.00,117,0,100,100,0,-11.56,2638,100,100,1.20,15.4,25,0.00,0,794,0
38.868,100,100,1.00,80.85,14.55,80.56,14.55,81,54.31,2,-7,2.37,0.50,0.00,117,0,100,100,0,-11.49,2588,100,100,1.20,15.3,25,0.00,0,784,0
38.925,100,100,1.00,81.44,14.55,81.00,14.55,81,54.42,2,-7,2.33,0.00,0.00,117,0,100,100,0,-11.42,2538,100,100,1.20,15.3,24,0.00,0,777,0
38.983,100,100,1.00,82.03,14.55,81.29,14.55,81,54.64,2,-7,2.28,0.00,0.50,117,0,100,100,0,-11.31,2488,100,100,1.40,15.2,24,0.00,0,755,0
39.036,100,100,1.00,82.03,14.55,81.73,14.55,81,54.60,2,-7,2.28,0.50,0.50,117,0,100,100,0,-11.31,2438,100,100,1.40,15.2,24,0.00,0,738,0
39.111,100,100,1.00,82.47,14.55,81.44,14.55,81,54.50,2,-7,2.22,0.50,0.50,117,0,100,100,0,-11.38,2400,100,100,1.40,15.2,23,0.00,0,730,0
39.163,100,100,1.00,83.06,14.55,81.73,14.55,81,54.53,2,-7,2.15,0.00,0.50,117,0,100,100,0,-11.31,2350,100,100,1.40,15.1,22,0.00,0,713,0
39.220,100,100,1.00,82.76,14.55,82.03,14.55,81,54.50,2,-7,2.11,-0.50,0.50,117,0,100,100,0,-11.38,2300,100,100,1.20,15.0,22,0.00,0,697,0
39.269,100,100,1.00,82.76,14.55,82.32,14.55,81,54.50,2,-7,2.11,-0.50,0.50,117,0,100,100,0,-11.31,2262,100,100,1.20,15.0,22,0.00,0,682,0
39.329,100,100,1.00,83.20,14.55,82.32,14.55,81,54.53,2,-7,2.06,-0.50,0.50,117,0,100,100,0,-11.27,2225,100,100,1.40,14.8,21,0.00,0,677,0
39.378,100,100,1.00,83.20,14.55,82.03,14.55,81,54.53,2,-7,2.01,-0.50,0.50,117,0,100,100,0,-11.27,2175,100,100,1.40,14.8,21,0.00,0,661,0
39.450,100,100,1.00,82.91,14.55,82.32,14.55,81,54.57,2,-7,2.01,-0.50,0.50,117,0,100,100,0,-11.27,2138,100,100,1.20,14.7,21,0.00,0,644,0
39.502,100,100,1.00,82.91,14.55,82.47,14.55,81,54.53,2,-7,1.96,-0.50,0.50,117,0,100,100,0,-11.31,2100,100,100,1.20,14.7,20,0.00,0,636,0
39.568,100,100,1.00,83.20,14.55,82.47,14.55,81,54.39,2,-7,1.89,-0.50,0.50,117,0,100,100,0,-11.31,2062,100,100,1.20,14.6,20,0.00,0,624,0
39.635,100,100,1.00,83.20,14.55,82.76,14.55,81,54.64,2,-7,1.90,-0.50,0.50,117,0,100,100,0,-11.20,2012,100,100,1.40,14.6,19,0.00,0,604,0
39.693,100,100,1.00,83.50,14.55,82.32,14.55,81,54.60,2,-7,1.82,0.00,0.50,117,0,100,100,0,-11.20,1962,100,100,1.40,14.5,19,0.00,0,595,0
39.750,100,100,1.00,83.50,14.55,82.32,14.55,81,54.79,2,-7,1.81,-1.00,0.50,117,0,100,100,0,-11.13,1938,100,100,1.40,14.4,19,0.00,0,587,0
39.799,100,100,1.00,82.91,14.55,82.47,14.55,81,54.89,2,-7,1.77,-0.50,0.50,117,0,100,100,0,-11.09,1900,100,100,1.40,14.4,18,0.00,0,576,0
39.851,100,100,1.00,83.20,14.55,82.03,14.55,81,54.93,2,-7,1.72,0.00,0.00,117,0,100,100,0,-11.02,1862,100,100,1.40,14.3,18,0.00,0,563,0
39.929,100,100,1.00,83.20,14.55,82.32,14.55,81,54.86,2,-7,1.68,0.00,0.00,117,0,100,100,0,-10.95,1838,100,100,1.40,14.3,17,0.00,0,558,0
39.982,100,100,1.00,82.91,14.55,82.32,14.55,81,55.29,2,-7,1.66,0.00,0.00,117,0,100,100,0,-10.91,1800,100,100,1.40,14.2,17,0.00,0,549,0
40.031,100,100,1.00,82.91,14.55,82.32,14.55,81,55.15,2,-7,1.64,0.00,0.00,117,0,100,100,0,-10.91,1762,100,100,1.40,14.2,17,0.00,0,540,0
40.100,100,100,1.00,82.91,14.55,82.32,14.55,81,55.22,2,-7,1.61,0.50,0.50,117,0,100,100,0,-10.84,1738,100,100,1.40,14.2,17,0.00,0,523,0
40.160,100,100,1.00,83.20,14.55,82.03,14.55,81,55.00,2,-7,1.57,0.50,0.50,117,0,100,100,0,-10.84,1700,100,100,1.40,14.2,16,0.00,0,516,0
40.209,100,100,1.00,82.91,14.55,81.44,14.55,81,55.37,2,-7,1.54,0.00,0.00,117,0,100,100,0,-10.91,1662,100,100,1.40,14.2,16,0.00,0,510,0
40.278,100,100,1.00,82.91,14.55,81.73,14.55,81,55.26,2,-7,1.51,0.00,0.50,117,0,100,100,0,-10.80,1638,100,100,1.40,14.2,16,0.00,0,491,0
40.331,100,100,1.00,82.76,14.55,81.44,14.55,81,55.44,2,-7,1.48,0.00,0.00,117,0,100,100,0,-10.84,1600,100,100,1.40,14.2,16,0.00,0,482,0
40.389,100,100,1.00,82.91,14.55,81.44,14.55,81,55.44,2,-7,1.43,0.00,0.00,117,0,100,100,0,-10.66,1562,100,100,1.60,14.2,15,0.00,0,477,0
40.446,100,100,1.00,82.76,14.55,81.73,14.55,81,55.77,2,-7,1.41,0.00,0.00,117,0,100,100,0,-10.62,1525,100,100,1.60,14.2,14,0.00,0,463,0
40.499,100,100,1.00,82.47,14.55,81.44,14.55,81,55.47,2,-7,1.38,-0.50,0.00,117,0,100,100,0,-10.55,1488,100,100,1.60,14.2,14,0.00,0,451,0
40.549,100,100,1.00,82.47,14.55,81.14,14.55,81,55.66,2,-7,1.35,0.00,0.00,117,0,100,100,0,-10.44,1450,100,100,1.60,14.2,14,0.00,0,437,0
40.599,100,100,1.00,82.32,14.55,80.70,14.55,81,56.06,2,-4,1.91,-0.50,0.00,117,0,100,100,0,-10.26,1425,100,100,1.60,14.2,14,0.00,0,440,0
40.648,100,100,1.00,82.47,14.55,81.00,14.55,81,56.16,2,0,1.80,0.00,0.50,117,0,100,100,0,-10.26,1350,100,100,1.60,14.2,13,0.00,0,411,0
40.715,100,100,1.00,82.32,14.55,81.44,14.55,81,56.02,2,3,1.83,0.50,0.50,117,0,100,100,0,-10.00,1338,100,100,1.80,14.2,13,0.00,0,404,0
40.758,100,100,1.00,82.03,14.55,80.70,14.55,81,56.24,2,7,1.74,0.00,0.50,117,0,100,100,0,-9.97,1288,100,100,1.80,14.2,12,0.00,0,394,0
40.820,100,100,1.00,81.14,14.55,79.97,14.55,81,56.35,2,11,1.69,0.50,0.50,117,0,100,100,0,-9.89,1238,100,100,1.80,14.2,12,0.00,0,375,0
40.879,100,100,1.00,81.44,14.55,78.06,14.55,81,56.67,2,15,1.66,0.00,0.50,117,0,100,100,0,-9.89,1212,100,100,1.80,14.2,12,0.00,0,374,0
40.936,100,100,1.00,81.73,14.55,73.94,14.55,81,56.85,2,17,1.62,0.50,0.50,117,0,100,100,0,-9.71,1150,100,100,1.80,14.2,11,0.00,0,348,0
41.005,100,100,1.00,81.14,14.55,70.12,14.55,81,56.67,2,17,1.61,1.00,0.50,117,0,100,100,0,-9.50,1150,100,100,2.00,14.2,11,0.00,0,346,0
41.058,100,100,1.00,80.26,14.55,65.71,14.55,81,57.18,2,17,1.55,0.50,0.50,117,0,100,100,0,-9.24,1088,100,100,2.00,14.2,11,0.00,6,347,0
41.118,100,100,1.00,77.91,14.55,59.68,14.55,81,57.51,2,17,1.54,1.00,0.50,117,0,100,100,0,-9.06,1075,100,100,2.20,14.2,10,0.00,1,333,0
41.202,100,100,1.00,75.26,14.55,55.86,14.55,81,57.11,2,17,1.49,0.50,0.50,117,0,100,100,0,-8.95,1038,100,100,2.20,14.2,10,0.00,14,331,0
41.250,100,100,1.00,69.97,14.55,49.24,14.55,81,57.61,2,17,1.47,0.50,0.50,117,0,100,100,0,-8.92,1025,100,100,2.20,14.2,9,0.00,27,333,0
41.319,100,100,1.00,66.44,14.55,44.98,14.55,81,57.94,2,17,1.46,0.50,0.50,117,0,100,100,0,-8.73,1000,100,100,2.20,14.2,9,0.00,36,333,0
41.396,100,100,1.00,61.89,14.55,41.31,14.55,81,57.80,2,17,1.39,1.00,1.00,117,0,100,100,0,-8.66,950,100,100,2.20,14.2,9,0.00,27,313,0
41.462,100,100,1.00,56.74,14.55,37.34,14.55,81,58.38,2,17,1.41,0.50,1.00,117,0,100,100,0,-8.44,950,100,100,2.40,14.2,9,0.00,54,331,0
41.515,100,100,1.00,53.66,14.55,32.63,14.55,81,58.45,2,17,1.41,1.00,1.00,117,0,100,100,0,-8.30,938,100,100,2.40,14.2,8,0.00,78,345,0
41.574,100,100,1.00,49.54,14.55,27.49,14.55,81,58.81,2,17,1.43,0.50,1.00,117,0,100,100,0,-8.19,938,100,100,2.40,14.2,8,0.00,98,357,0
41.629,100,100,1.00,46.16,14.55,24.70,14.55,81,58.52,2,17,1.40,1.00,1.00,117,0,100,100,0,-7.97,912,100,100,2.40,14.2,7,0.00,109,357,0
41.696,100,100,1.00,42.19,14.55,20.29,14.55,81,59.21,2,17,1.41,0.50,1.00,117,0,100,100,0,-7.97,912,100,100,2.60,14.2,7,0.00,137,378,0
41.750,100,100,1.00,37.93,14.55,16.90,14.55,81,58.77,2,19,1.46,1.50,1.00,117,0,100,100,0,-7.61,938,100,100,2.60,14.2,7,0.00,186,418,0
41.819,100,100,1.00,33.81,14.55,15.73,14.55,81,59.25,2,18,1.50,0.50,1.00,117,0,100,100,0,-7.54,962,100,100,2.60,14.2,7,0.00,230,454,0
41.861,100,100,1.00,29.55,14.55,15.43,14.55,81,58.88,2,18,1.50,1.00,1.00,117,0,100,100,0,-7.61,962,100,100,2.60,14.2,7,0.00,251,470,0
41.914,100,100,1.00,26.31,14.55,14.99,14.55,81,59.03,2,17,1.55,0.50,1.00,117,0,100,100,0,-7.54,988,100,100,2.80,14.2,6,0.00,298,512,0
41.982,100,100,1.00,23.52,14.55,14.55,14.55,81,59.43,2,17,1.56,1.00,0.50,117,0,100,100,0,-7.65,1000,100,100,2.60,14.2,6,0.00,336,541,0
42.041,104,102,1.00,20.14,13.52,14.11,13.52,81,58.77,2,17,1.62,0.50,1.00,117,0,100,100,0,-7.61,1025,104,102,2.60,14.3,6,0.00,380,527,0
42.095,107,102,1.00,16.90,13.52,13.96,13.52,81,59.06,2,16,1.65,1.00,0.50,117,0,100,100,0,-7.72,1025,107,102,2.60,14.2,6,0.00,397,455,0
42.159,109,101,1.00,15.88,13.52,13.82,13.52,81,59.14,2,16,1.65,0.50,0.50,117,0,100,100,0,-7.79,1038,109,101,2.60,14.2,6,0.00,436,370,0
42.204,110,101,1.00,15.29,13.52,13.67,13.52,81,59.10,2,16,1.69,1.00,0.50,117,0,100,100,0,-7.65,1050,110,101,2.60,14.3,6,0.00,464,301,0
42.258,111,100,1.00,14.85,13.52,13.52,13.52,81,58.88,2,15,1.74,0.50,0.50,117,0,100,100,0,-7.61,1075,111,100,2.60,14.2,6,0.00,497,243,0
42.322,111,100,1.00,14.55,13.52,13.52,13.52,81,58.34,2,15,1.74,1.00,0.50,117,0,100,100,0,-7.72,1088,111,100,2.60,14.3,5,0.00,534,172,0
42.375,111,99,1.00,14.11,13.52,13.23,13.52,81,58.56,2,14,1.75,0.50,0.50,117,0,100,100,0,-7.90,1088,111,99,2.60,14.3,5,0.00,562,127,0
42.433,111,99,1.00,13.96,13.52,13.23,13.52,81,58.74,2,15,1.71,1.00,0.50,117,0,100,100,0,-8.08,1088,111,99,2.60,14.2,5,0.00,578,181,0
42.496,111,98,1.00,13.82,13.52,13.08,13.52,81,58.19,2,14,1.71,0.50,0.50,117,0,100,100,0,-8.08,1100,111,98,2.40,14.3,5,0.00,616,238,0
42.571,110,97,1.00,13.67,13.52,12.94,13.52,81,58.41,2,14,1.75,0.50,0.50,117,0,100,100,0,-8.12,1112,110,97,2.60,14.2,4,0.00,650,290,0
42.624,108,97,1.00,13.23,13.52,12.79,13.52,81,58.30,2,13,1.73,0.50,0.50,117,0,100,100,0,-8.12,1125,108,97,2.40,14.2,4,0.00,682,340,0
42.678,106,96,1.00,12.94,13.52,12.79,13.52,81,58.34,2,13,1.72,0.50,0.50,117,0,100,100,0,-8.19,1125,106,96,2.40,14.2,4,0.00,688,356,0
42.732,106,96,1.00,12.79,13.52,12.79,13.52,81,58.16,2,14,1.71,0.50,0.50,117,0,100,100,0,-8.26,1125,106,96,2.40,14.3,4,0.00,714,397,0
42.775,105,96,1.00,12.64,13.52,12.79,13.52,81,58.38,2,14,1.67,0.50,0.50,117,0,100,100,0,-8.30,1112,105,96,2.40,14.2,4,0.00,725,419,0
42.840,104,95,1.00,12.49,13.52,12.79,13.52,81,58.09,2,13,1.66,0.50,0.50,117,0,100,100,0,-8.30,1112,104,95,2.40,14.2,4,0.00,744,451,0
42.893,103,95,1.00,12.35,13.52,12.79,13.52,81,58.19,2,14,1.65,0.50,0.50,117,0,100,100,0,-8.37,1112,103,95,2.40,14.2,4,0.00,758,479,0
42.939,102,95,1.00,12.35,13.52,12.79,13.52,81,58.01,2,13,1.63,0.50,0.50,117,0,100,100,0,-8.48,1112,102,95,2.40,14.2,3,0.00,775,507,0
42.993,101,95,1.00,12.35,13.52,12.94,13.52,81,58.27,2,14,1.63,0.50,0.50,117,0,100,100,0,-8.55,1112,101,95,2.40,14.2,3,0.00,785,530,0
43.060,101,94,1.00,12.20,13.52,12.94,13.52,81,57.83,2,14,1.57,0.50,0.50,117,0,100,100,0,-8.55,1088,101,94,2.40,14.2,3,0.00,778,534,0
43.119,100,94,1.00,12.20,13.52,13.08,13.52,81,58.01,1,14,1.59,0.50,0.50,117,0,100,100,0,-8.30,1075,100,94,2.40,14.2,3,0.00,772,539,0
43.173,99,94,1.00,12.35,13.52,13.23,13.52,81,57.83,1,15,1.56,1.00,0.50,117,0,100,100,0,-8.26,1062,99,94,2.40,14.2,2,0.00,772,546,0
43.238,98,94,1.00,12.35,13.52,13.23,13.52,81,58.23,1,16,1.50,0.50,0.50,117,0,100,100,0,-8.44,1038,98,94,2.40,14.2,2,0.00,756,537,0
43.292,98,95,1.00,12.35,13.52,13.38,13.52,81,58.05,1,17,1.50,1.00,0.50,117,0,100,100,0,-8.30,1025,98,95,2.40,14.2,2,0.00,751,540,0
43.355,97,95,1.00,12.49,13.52,13.38,13.52,81,58.34,1,17,1.47,0.50,1.00,117,0,100,100,0,-8.37,1012,97,95,2.40,14.2,2,0.00,743,535,0
43.420,97,95,1.00,12.49,13.52,13.52,13.52,81,58.59,1,17,1.45,1.00,0.50,117,0,100,100,0,-8.30,1000,97,95,2.40,14.2,2,0.00,745,544,0
43.479,96,95,1.00,12.64,13.52,13.67,13.52,81,58.74,1,17,1.47,1.00,1.00,117,0,100,100,0,-8.19,988,96,95,2.40,14.2,2,0.00,734,539,0
43.522,96,96,1.00,12.64,13.52,13.67,13.52,81,58.81,1,17,1.45,1.00,1.00,117,0,100,100,0,-8.01,988,96,96,2.60,14.2,2,0.00,736,545,0
43.591,96,96,1.00,12.79,13.52,13.82,13.52,81,59.10,1,17,1.45,1.00,1.00,117,0,100,100,0,-8.01,975,96,96,2.60,14.2,2,0.00,742,560,0
43.649,96,96,1.00,12.79,13.52,13.82,13.52,81,58.63,1,17,1.45,0.50,0.50,117,0,100,100,0,-7.97,975,96,96,2.60,14.2,2,0.00,751,575,0
43.708,96,97,1.00,12.94,13.52,13.96,13.52,81,59.10,1,17,1.45,1.00,1.00,117,0,100,100,0,-7.90,975,96,97,2.60,14.2,2,0.00,757,583,0
43.783,96,97,1.00,13.08,13.52,13.96,13.52,81,59.03,1,17,1.46,1.00,1.00,117,0,100,100,0,-7.83,975,96,97,2.60,14.2,2,0.00,759,588,0
43.835,96,97,1.00,13.23,13.52,13.96,13.52,81,59.14,1,17,1.47,0.50,1.00,117,0,100,100,0,-7.90,975,96,97,2.60,14.2,2,0.00,764,598,0
43.892,96,98,1.00,13.38,13.52,13.96,13.52,81,58.99,1,17,1.48,1.00,0.50,117,0,100,100,0,-7.83,988,96,98,2.60,14.2,2,0.00,771,605,0
43.955,96,98,1.00,13.52,13.52,13.96,13.52,81,59.17,1,17,1.48,1.00,1.00,117,0,100,100,0,-7.79,988,96,98,2.60,14.2,2,0.00,770,601,0
44.004,97,98,1.00,13.52,13.52,13.96,13.52,81,58.99,1,17,1.51,1.00,0.50,117,0,100,100,0,-7.79,1000,97,98,2.60,14.2,2,0.00,783,615,0
44.058,97,98,1.00,13.52,13.52,13.96,13.52,81,58.96,1,17,1.52,0.50,1.00,117,0,100,100,0,-8.08,1012,97,98,2.60,14.3,2,0.00,795,629,0
44.117,97,98,1.00,13.67,13.52,13.96,13.52,81,58.96,1,25,1.55,0.50,0.50,117,0,100,100,0,-7.83,1025,97,98,2.60,14.3,2,0.00,815,652,0
44.184,97,99,1.00,13.67,13.52,13.96,13.52,81,59.06,1,26,1.54,0.50,0.50,117,0,100,100,0,-7.79,1038,97,99,2.60,14.6,2,0.00,832,667,0
44.237,97,99,1.00,13.67,13.52,13.96,13.52,81,59.03,1,26,1.68,0.50,0.50,117,0,100,100,0,-7.61,1075,97,99,2.80,15.1,2,0.00,860,698,0
44.299,98,99,1.00,13.67,13.52,13.82,13.52,81,59.39,1,27,1.69,0.50,0.50,117,0,100,100,0,-7.65,1112,98,99,2.60,15.3,2,0.00,909,746,0
44.353,98,99,1.00,13.82,13.52,13.82,13.52,81,59.10,1,27,1.74,1.00,0.50,117,0,100,100,0,-7.61,1162,98,99,2.60,15.7,2,0.00,947,779,0
44.402,98,99,1.00,13.82,13.52,13.82,13.52,81,59.32,1,28,1.81,0.50,0.50,117,0,100,100,0,-7.61,1200,98,99,2.60,15.9,2,0.00,951,764,0
44.480,98,99,1.00,13.82,13.52,13.82,13.52,81,59.50,1,27,1.82,1.00,0.50,117,0,100,100,0,-7.54,1200,98,99,2.60,16.1,2,0.00,934,727,0
44.534,99,100,1.00,13.82,13.52,13.82,13.52,81,60.08,1,28,1.81,0.50,0.50,117,0,100,100,0,-6.78,1150,99,100,3.20,16.4,2,0.00,894,698,0
44.577,99,100,1.00,13.96,13.52,13.82,13.52,81,59.75,1,27,1.82,0.50,0.50,117,0,100,100,0,-6.85,1088,99,100,3.20,16.7,2,0.00,861,675,0
44.629,99,100,1.00,13.96,13.52,13.82,13.52,81,60.44,1,27,1.82,0.50,0.50,117,0,100,100,0,-6.70,1050,99,100,3.40,16.8,2,0.00,817,622,0
44.678,100,100,1.00,13.96,13.52,13.82,13.52,81,60.91,1,26,1.74,1.00,0.50,117,0,100,100,0,-6.59,1038,100,100,3.40,16.8,2,0.00,786,589,0
44.732,100,101,1.00,13.96,13.52,13.96,13.52,81,60.91,1,27,1.83,0.50,0.50,117,0,100,100,0,-6.20,1050,100,101,3.40,16.8,2,0.00,778,566,0
44.790,101,101,1.00,14.11,13.52,13.96,13.52,81,61.49,1,26,1.88,1.50,0.50,117,-10,100,100,0,-6.01,1075,101,101,3.60,16.9,2,0.00,777,554,0
44.834,102,102,1.00,14.26,13.52,14.26,13.52,81,61.49,1,25,1.98,0.50,0.50,115,0,100,100,0,-5.76,1088,102,102,3.80,16.9,3,0.00,780,543,0
44.897,103,103,1.00,14.55,13.52,14.26,13.52,81,62.04,1,25,2.04,1.00,0.50,115,0,100,100,0,-5.72,1100,103,103,4.00,17.0,3,0.00,782,533,0
44.951,104,104,1.00,14.70,13.52,14.41,13.52,81,61.75,1,26,2.05,0.50,0.50,115,0,100,100,0,-5.72,1100,104,104,4.00,17.0,3,0.00,763,499,0
45.014,105,105,1.00,14.85,13.52,14.55,13.52,81,62.15,1,26,2.06,1.50,0.50,115,0,100,100,0,-5.65,1100,105,105,4.00,17.2,3,0.00,750,480,0
